,Hearbeat ID,Ground Truth,Predicted Category,Comparison Result
0,74733,2,2,1
1,74750,2,2,1
2,74769,2,2,1
3,74780,2,2,1
4,74789,2,2,1
5,74812,2,2,1
6,74852,2,2,1
7,74875,2,2,1
8,74894,2,2,1
9,74910,2,2,1
10,74978,2,2,1
11,74986,2,2,1
12,75046,2,2,1
13,75054,2,2,1
14,75070,2,2,1
15,75113,2,2,1
16,75138,2,2,1
17,75156,2,2,1
18,75165,2,2,1
19,75206,2,2,1
20,75232,2,2,1
21,75233,2,2,1
22,75242,2,2,1
23,75245,2,2,1
24,75249,2,2,1
25,75252,2,2,1
26,75256,2,2,1
27,75303,2,0,0
28,75345,2,2,1
29,75412,2,2,1
30,75430,2,2,1
31,75450,2,2,1
32,75459,2,2,1
33,75460,2,2,1
34,75477,2,2,1
35,75502,2,2,1
36,75526,2,2,1
37,75534,2,2,1
38,75551,2,2,1
39,75563,2,0,0
40,75717,2,3,0
41,75752,2,3,0
42,75775,2,1,0
43,75815,2,3,0
44,75831,2,2,1
45,75835,2,2,1
46,75891,2,2,1
47,75937,2,2,1
48,75947,2,2,1
49,75990,2,2,1
50,76048,2,2,1
51,76060,2,0,0
52,76090,2,2,1
53,76096,2,2,1
54,76108,2,2,1
55,76123,2,2,1
56,76129,2,2,1
57,76139,2,2,1
58,76189,2,2,1
59,76202,2,2,1
60,76216,2,2,1
61,76217,2,3,0
62,76308,2,2,1
63,76312,2,3,0
64,76339,2,2,1
65,76390,2,0,0
66,76402,2,2,1
67,76416,2,1,0
68,76431,2,0,0
69,76445,2,2,1
70,76509,2,2,1
71,76512,2,2,1
72,76554,2,2,1
73,76590,2,2,1
74,76606,2,2,1
75,76613,2,2,1
76,76693,2,2,1
77,76767,2,2,1
78,76803,2,3,0
79,76821,2,2,1
80,76905,2,2,1
81,76910,2,2,1
82,77002,2,2,1
83,77013,2,2,1
84,77024,2,2,1
85,77028,2,3,0
86,77050,2,2,1
87,77089,2,2,1
88,77122,2,2,1
89,77200,2,2,1
90,77208,2,2,1
91,77211,2,2,1
92,77215,2,2,1
93,77216,2,2,1
94,77219,2,2,1
95,77271,2,2,1
96,77344,2,2,1
97,77413,2,2,1
98,77458,2,2,1
99,77488,2,2,1
100,77496,2,2,1
101,77519,2,2,1
102,77526,2,2,1
103,77589,2,2,1
104,77648,2,1,0
105,77775,2,2,1
106,77846,2,2,1
107,77857,2,2,1
108,77872,2,2,1
109,77891,2,2,1
110,77926,2,2,1
111,77957,2,2,1
112,77982,2,2,1
113,78000,2,2,1
114,78012,2,2,1
115,78014,2,2,1
116,78083,2,2,1
117,78124,2,2,1
118,78170,2,2,1
119,78181,2,2,1
120,78209,2,2,1
121,78210,2,2,1
122,78214,2,2,1
123,78290,2,2,1
124,78298,2,2,1
125,78314,2,2,1
126,78337,2,0,0
127,78345,2,2,1
128,78365,2,2,1
129,78378,2,2,1
130,78386,2,2,1
131,78398,2,2,1
132,78500,2,2,1
133,78582,2,2,1
134,78608,2,2,1
135,78654,2,2,1
136,78660,2,2,1
137,78738,2,2,1
138,78745,2,2,1
139,78751,2,2,1
140,78790,2,2,1
141,78799,2,2,1
142,78807,2,2,1
143,78815,2,1,0
144,78828,2,2,1
145,78837,2,2,1
146,78851,2,0,0
147,78853,2,2,1
148,78865,2,2,1
149,78887,2,2,1
150,78907,2,1,0
151,78961,2,2,1
152,78984,2,2,1
153,78985,2,2,1
154,78996,2,2,1
155,79005,2,2,1
156,79054,2,2,1
157,79111,2,2,1
158,79158,2,2,1
159,79257,2,2,1
160,79258,2,0,0
161,79308,2,2,1
162,79360,2,2,1
163,79390,2,2,1
164,79398,2,2,1
165,79408,2,2,1
166,79418,2,2,1
167,79485,2,2,1
168,79500,2,2,1
169,79504,2,2,1
170,79560,2,2,1
171,79609,2,2,1
172,79660,2,2,1
173,79668,2,2,1
174,79676,2,2,1
175,79689,2,2,1
176,79758,2,2,1
177,79843,2,2,1
178,79882,2,2,1
179,79970,2,1,0
180,80021,2,0,0
181,80138,2,2,1
182,80170,2,2,1
183,80186,2,2,1
184,80199,2,2,1
185,80211,2,2,1
186,80367,2,3,0
187,80447,2,2,1
188,80450,2,2,1
189,80452,2,2,1
190,80457,2,2,1
191,106243,2,2,1
192,106247,2,2,1
193,106265,2,2,1
194,106276,2,2,1
195,106340,2,2,1
196,106345,2,2,1
197,106371,2,0,0
198,106377,2,2,1
199,106492,2,2,1
200,106519,2,2,1
201,106526,2,2,1
202,106536,2,2,1
203,106554,2,2,1
204,106621,2,2,1
205,106650,2,2,1
206,106698,2,2,1
207,106700,2,3,0
208,106703,2,2,1
209,106744,2,2,1
210,106782,2,2,1
211,106851,2,2,1
212,106864,2,2,1
213,106901,2,2,1
214,106927,2,2,1
215,106938,2,2,1
216,106992,2,3,0
217,107034,2,0,0
218,107055,2,2,1
219,107183,2,2,1
220,107196,2,2,1
221,107211,2,2,1
222,107251,2,2,1
223,107272,2,2,1
224,107316,2,2,1
225,107333,2,2,1
226,107377,2,0,0
227,107408,2,1,0
228,107412,2,2,1
229,107418,2,0,0
230,107421,2,2,1
231,107465,2,2,1
232,107474,2,2,1
233,107490,2,0,0
234,107520,2,2,1
235,107528,2,2,1
236,107591,2,2,1
237,107595,2,2,1
238,107619,2,2,1
239,107633,2,2,1
240,107636,2,2,1
241,107669,2,2,1
242,107671,2,2,1
