,Hearbeat ID,Ground Truth,Predicted Category,Comparison Result
0,81133,4,4,1
1,81138,4,4,1
2,81139,4,4,1
3,81152,4,4,1
4,81187,4,2,0
5,81206,4,4,1
6,81241,4,4,1
7,81246,4,4,1
8,81293,4,4,1
9,81299,4,4,1
10,81300,4,4,1
11,81324,4,4,1
12,81350,4,4,1
13,81376,4,4,1
14,81377,4,4,1
15,81401,4,4,1
16,81407,4,4,1
17,81414,4,4,1
18,81427,4,4,1
19,81438,4,4,1
20,81472,4,4,1
21,81483,4,4,1
22,81487,4,4,1
23,81505,4,4,1
24,81532,4,4,1
25,81538,4,4,1
26,81559,4,4,1
27,81581,4,4,1
28,81637,4,4,1
29,81649,4,4,1
30,81658,4,0,0
31,81662,4,4,1
32,81669,4,4,1
33,81694,4,2,0
34,81700,4,4,1
35,81704,4,4,1
36,81710,4,4,1
37,81743,4,4,1
38,81778,4,0,0
39,81782,4,4,1
40,81796,4,4,1
41,81797,4,4,1
42,81806,4,4,1
43,81822,4,4,1
44,81834,4,4,1
45,81845,4,4,1
46,81846,4,4,1
47,81851,4,0,0
48,81887,4,4,1
49,81899,4,4,1
50,81900,4,4,1
51,81956,4,4,1
52,81982,4,4,1
53,81987,4,4,1
54,81990,4,4,1
55,81991,4,4,1
56,81994,4,4,1
57,82016,4,4,1
58,82072,4,4,1
59,82073,4,4,1
60,82089,4,4,1
61,82092,4,4,1
62,82099,4,4,1
63,82144,4,0,0
64,82145,4,4,1
65,82154,4,4,1
66,82169,4,4,1
67,82197,4,0,0
68,82202,4,0,0
69,82203,4,4,1
70,82211,4,4,1
71,82212,4,4,1
72,82221,4,4,1
73,82230,4,4,1
74,82233,4,4,1
75,82250,4,4,1
76,82271,4,4,1
77,82299,4,4,1
78,82319,4,4,1
79,82324,4,4,1
80,82331,4,4,1
81,82336,4,4,1
82,82355,4,4,1
83,82367,4,4,1
84,82382,4,4,1
85,82385,4,4,1
86,82386,4,4,1
87,82387,4,4,1
88,82404,4,4,1
89,82415,4,4,1
90,82465,4,4,1
91,82467,4,4,1
92,82473,4,4,1
93,82489,4,0,0
94,82494,4,4,1
95,82513,4,4,1
96,82533,4,4,1
97,82540,4,4,1
98,82642,4,4,1
99,82656,4,4,1
100,82665,4,4,1
101,82673,4,4,1
102,82677,4,0,0
103,82686,4,4,1
104,82712,4,3,0
105,82732,4,4,1
106,82736,4,0,0
107,82746,4,4,1
108,82757,4,4,1
109,82766,4,4,1
110,82781,4,4,1
111,82784,4,4,1
112,82786,4,4,1
113,82791,4,4,1
114,82810,4,4,1
115,82838,4,0,0
116,82845,4,0,0
117,82882,4,4,1
118,82893,4,4,1
119,82895,4,4,1
120,82927,4,4,1
121,82935,4,4,1
122,82946,4,4,1
123,83000,4,4,1
124,83028,4,4,1
125,83057,4,4,1
126,83058,4,4,1
127,83061,4,4,1
128,83095,4,4,1
129,83144,4,4,1
130,83164,4,4,1
131,83184,4,4,1
132,83217,4,4,1
133,83243,4,4,1
134,83247,4,4,1
135,83256,4,4,1
136,83268,4,4,1
137,83284,4,4,1
138,83315,4,4,1
139,83366,4,4,1
140,83370,4,4,1
141,83385,4,4,1
142,83391,4,4,1
143,83417,4,4,1
144,83440,4,1,0
145,83468,4,4,1
146,83475,4,4,1
147,83543,4,4,1
148,83546,4,4,1
149,83573,4,4,1
150,83589,4,4,1
151,83599,4,4,1
152,83608,4,0,0
153,83647,4,0,0
154,83653,4,4,1
155,83662,4,4,1
156,83684,4,4,1
157,83689,4,4,1
158,83699,4,4,1
159,83730,4,4,1
160,83764,4,4,1
161,83836,4,0,0
162,83839,4,4,1
163,83841,4,4,1
164,83851,4,4,1
165,83856,4,4,1
166,83861,4,4,1
167,83917,4,4,1
168,83949,4,4,1
169,83991,4,4,1
170,84014,4,4,1
171,84029,4,4,1
172,84058,4,4,1
173,84085,4,4,1
174,84096,4,4,1
175,84098,4,4,1
176,84121,4,0,0
177,84125,4,4,1
178,84129,4,4,1
179,84165,4,4,1
180,84194,4,0,0
181,84198,4,0,0
182,84217,4,4,1
183,84223,4,4,1
184,84237,4,4,1
185,84281,4,4,1
186,84330,4,4,1
187,84358,4,4,1
188,84364,4,4,1
189,84396,4,4,1
190,84402,4,4,1
191,84481,4,0,0
192,84511,4,4,1
193,84544,4,4,1
194,84557,4,4,1
195,84568,4,4,1
196,84570,4,4,1
197,84599,4,1,0
198,84611,4,4,1
199,84613,4,0,0
200,84614,4,4,1
201,84626,4,4,1
202,84654,4,4,1
203,84682,4,4,1
204,84690,4,0,0
205,84702,4,4,1
206,84719,4,4,1
207,84723,4,4,1
208,84744,4,0,0
209,84754,4,4,1
210,84769,4,4,1
211,84794,4,4,1
212,84800,4,4,1
213,84821,4,4,1
214,84835,4,4,1
215,84844,4,4,1
216,84853,4,4,1
217,84857,4,4,1
218,84876,4,0,0
219,84939,4,4,1
220,84967,4,4,1
221,84968,4,4,1
222,84977,4,4,1
223,85008,4,4,1
224,85035,4,4,1
225,85048,4,4,1
226,85122,4,4,1
227,85139,4,4,1
228,85144,4,4,1
229,85149,4,0,0
230,85150,4,4,1
231,85179,4,0,0
232,85180,4,1,0
233,85203,4,4,1
234,85222,4,4,1
235,85239,4,4,1
236,85257,4,4,1
237,85281,4,4,1
238,85335,4,4,1
239,85357,4,0,0
240,85381,4,4,1
241,85388,4,4,1
242,85416,4,0,0
243,85460,4,4,1
244,85470,4,4,1
245,85493,4,4,1
246,85514,4,4,1
247,85519,4,0,0
248,85525,4,4,1
249,85529,4,2,0
250,85531,4,4,1
251,85565,4,0,0
252,85582,4,4,1
253,85583,4,4,1
254,85598,4,4,1
255,85606,4,4,1
256,85627,4,4,1
257,85644,4,0,0
258,85659,4,4,1
259,85661,4,4,1
260,85667,4,4,1
261,85682,4,4,1
262,85685,4,4,1
263,85693,4,4,1
264,85698,4,4,1
265,85699,4,4,1
266,85708,4,0,0
267,85786,4,4,1
268,85790,4,4,1
269,85803,4,0,0
270,85809,4,4,1
271,85841,4,4,1
272,85842,4,4,1
273,85851,4,4,1
274,85900,4,4,1
275,85903,4,4,1
276,85906,4,4,1
277,85918,4,4,1
278,85920,4,4,1
279,85927,4,4,1
280,85944,4,1,0
281,85970,4,0,0
282,85988,4,4,1
283,85994,4,4,1
284,86011,4,0,0
285,86022,4,4,1
286,86059,4,0,0
287,86109,4,1,0
288,86110,4,4,1
289,86112,4,4,1
290,86138,4,4,1
291,86161,4,4,1
292,86194,4,4,1
293,86201,4,4,1
294,86216,4,4,1
295,86218,4,4,1
296,86240,4,4,1
297,86256,4,4,1
298,86261,4,4,1
299,86287,4,4,1
300,86288,4,4,1
301,86379,4,4,1
302,86389,4,4,1
303,86392,4,4,1
304,86403,4,4,1
305,86456,4,4,1
306,86470,4,4,1
307,86476,4,4,1
308,86480,4,4,1
309,86506,4,4,1
310,86510,4,4,1
311,86515,4,4,1
312,86533,4,4,1
313,86535,4,4,1
314,86598,4,4,1
315,86619,4,4,1
316,86642,4,4,1
317,86669,4,4,1
318,86677,4,4,1
319,86683,4,4,1
320,86717,4,0,0
321,86719,4,4,1
322,86722,4,4,1
323,86729,4,4,1
324,86754,4,4,1
325,86774,4,0,0
326,86855,4,4,1
327,86888,4,1,0
328,86892,4,4,1
329,86910,4,4,1
330,86922,4,4,1
331,86958,4,4,1
332,86971,4,4,1
