,Hearbeat ID,Ground Truth,Predicted Category,Comparison Result
0,74698,2,2,1
1,74700,2,2,1
2,74703,2,2,1
3,74705,2,2,1
4,74706,2,2,1
5,74710,2,2,1
6,74713,2,2,1
7,74714,2,2,1
8,74716,2,2,1
9,74717,2,2,1
10,74719,2,2,1
11,74720,2,2,1
12,74726,2,2,1
13,74730,2,2,1
14,74732,2,2,1
15,74733,2,0,0
16,74734,2,2,1
17,74737,2,2,1
18,74739,2,2,1
19,74743,2,2,1
20,74745,2,2,1
21,74747,2,2,1
22,74749,2,1,0
23,74750,2,2,1
24,74752,2,2,1
25,74754,2,2,1
26,74756,2,2,1
27,74759,2,2,1
28,74761,2,2,1
29,74762,2,2,1
30,74764,2,2,1
31,74765,2,2,1
32,74767,2,2,1
33,74769,2,2,1
34,74770,2,2,1
35,74771,2,2,1
36,74772,2,2,1
37,74773,2,2,1
38,74774,2,2,1
39,74775,2,2,1
40,74778,2,2,1
41,74779,2,2,1
42,74780,2,2,1
43,74783,2,2,1
44,74784,2,2,1
45,74786,2,2,1
46,74789,2,2,1
47,74790,2,2,1
48,74792,2,2,1
49,74794,2,2,1
50,74801,2,2,1
51,74802,2,2,1
52,74804,2,2,1
53,74805,2,2,1
54,74807,2,2,1
55,74808,2,2,1
56,74810,2,2,1
57,74811,2,1,0
58,74812,2,2,1
59,74813,2,2,1
60,74818,2,2,1
61,74820,2,2,1
62,74821,2,2,1
63,74822,2,2,1
64,74824,2,2,1
65,74829,2,2,1
66,74830,2,2,1
67,74831,2,2,1
68,74837,2,2,1
69,74838,2,2,1
70,74842,2,2,1
71,74843,2,2,1
72,74848,2,3,0
73,74849,2,2,1
74,74852,2,2,1
75,74853,2,2,1
76,74856,2,2,1
77,74857,2,2,1
78,74861,2,2,1
79,74864,2,2,1
80,74871,2,2,1
81,74872,2,2,1
82,74874,2,0,0
83,74875,2,2,1
84,74878,2,2,1
85,74879,2,2,1
86,74882,2,2,1
87,74886,2,2,1
88,74888,2,2,1
89,74890,2,2,1
90,74891,2,2,1
91,74893,2,2,1
92,74894,2,1,0
93,74895,2,2,1
94,74896,2,2,1
95,74897,2,2,1
96,74901,2,2,1
97,74902,2,2,1
98,74904,2,2,1
99,74906,2,2,1
100,74908,2,1,0
101,74910,2,2,1
102,74912,2,2,1
103,74917,2,2,1
104,74918,2,2,1
105,74921,2,2,1
106,74922,2,2,1
107,74926,2,2,1
108,74928,2,2,1
109,74930,2,2,1
110,74935,2,3,0
111,74936,2,2,1
112,74937,2,2,1
113,74939,2,2,1
114,74941,2,2,1
115,74942,2,2,1
116,74943,2,2,1
117,74948,2,2,1
118,74951,2,2,1
119,74953,2,2,1
120,74954,2,2,1
121,74958,2,2,1
122,74961,2,2,1
123,74967,2,2,1
124,74969,2,2,1
125,74972,2,2,1
126,74976,2,3,0
127,74978,2,2,1
128,74979,2,2,1
129,74980,2,2,1
130,74986,2,2,1
131,74987,2,2,1
132,74989,2,2,1
133,74992,2,2,1
134,74994,2,2,1
135,74998,2,2,1
136,75002,2,2,1
137,75005,2,2,1
138,75006,2,2,1
139,75008,2,2,1
140,75013,2,2,1
141,75016,2,2,1
142,75018,2,2,1
143,75022,2,2,1
144,75024,2,2,1
145,75026,2,2,1
146,75027,2,2,1
147,75031,2,2,1
148,75035,2,2,1
149,75036,2,2,1
150,75037,2,2,1
151,75038,2,2,1
152,75039,2,2,1
153,75046,2,2,1
154,75047,2,2,1
155,75048,2,2,1
156,75050,2,2,1
157,75052,2,2,1
158,75053,2,2,1
159,75054,2,2,1
160,75058,2,2,1
161,75060,2,2,1
162,75061,2,2,1
163,75062,2,2,1
164,75067,2,2,1
165,75069,2,2,1
166,75070,2,2,1
167,75078,2,2,1
168,75082,2,2,1
169,75087,2,2,1
170,75088,2,2,1
171,75089,2,2,1
172,75090,2,2,1
173,75091,2,2,1
174,75094,2,2,1
175,75097,2,2,1
176,75098,2,2,1
177,75099,2,2,1
178,75108,2,2,1
179,75109,2,2,1
180,75112,2,2,1
181,75113,2,2,1
182,75116,2,2,1
183,75122,2,2,1
184,75124,2,2,1
185,75125,2,2,1
